Ok.  Ok. Having a phone has finally paid off.	Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, Hey, you're not Bob.	neutral
Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, Hey, you're not Bob.	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	neutral
I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	Oh my god. You are pure evil.	disgust
Oh my god. You are pure evil.	Ok, pure evil , horny and alone . I've done this	non-neutral
Nobody!	Nobody respects the bucket!	anger
Nobody respects the bucket!	You wouldn't believe what people put in here!	non-neutral
You wouldn't believe what people put in here!	Look!	anger
Look!	Okay, does this look like a garbage can to you?	anger
Okay, does this look like a garbage can to you?	No.	neutral
No.	This is my wedding.	neutral
This is my wedding.	All right, y'know what? We really are late! Let's go! Let's go! Let's go!!	non-neutral
All right, y'know what? We really are late! Let's go! Let's go! Let's go!!	Fine. You'll-you'll watch it on video when we get back.	neutral
Fine. You'll-you'll watch it on video when we get back.	Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.	joy
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.	Thank you.	neutral
Thank you.	Thank you.	neutral
Thank you.	All right, let's go! Bye, Pheebs!	joy
All right, let's go! Bye, Pheebs!	Bye, Pheebs!	joy
Bye, Pheebs!	London baby!!	joy
London baby!!	Oh, do you need a hug? You don't have to bring me anything!	joy
Hey!	Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.	joy
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.	That's great, but shouldn't you be on the toilet right now?	non-neutral
That's great, but shouldn't you be on the toilet right now?	What?!	surprise
What?!	What's wrong with you?	non-neutral
What's wrong with you?	Nothing!	neutral
Nothing!	Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.	fear
Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.	But um, I don't think it's anything serious.	neutral
But um, I don't think it's anything serious.	This sounds like a hernia. You have toyou-you go to the doctor!	surprise
This sounds like a hernia. You have toyou-you go to the doctor!	No way! Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!	fear
No way! Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!	That's a hernia.	non-neutral
That's a hernia.	Why did I have to start working out again?  Damn you 15s!	anger
I love your place! Where is this guy from?	Uh that's an eighteenth century Indian artifact from Calcutta.	neutral
Uh that's an eighteenth century Indian artifact from Calcutta.	Oh wow! So, you're more than just dinosaurs.	surprise
Oh wow! So, you're more than just dinosaurs.	So much more.	neutral
So much more.	Well, well to sum up, we're having fun, you look young.	neutral
Well, well to sum up, we're having fun, you look young.	Okay	neutral
Okay	But that's not enough. So Sohere's a key to my apartment.	neutral
But that's not enough. So Sohere's a key to my apartment.	Really?!	surprise
Really?!	Really.	neutral
Really.	You don't think this is too fast.	neutral
Get Out!	Ross, can I talk to you for a minute?	neutral
Ross, can I talk to you for a minute?	Yes, please!  So, what's going on?	neutral
Yes, please!  So, what's going on?	Uh, well... Joey and I broke up.	sadness
Uh, well... Joey and I broke up.	Oh my God, wh-what happened?	surprise
Oh my God, wh-what happened?	Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!	sadness
Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!	I knew that was him!	non-neutral
I knew that was him!	Anyway I just, uh, I think it's for the best.	sadness
Anyway I just, uh, I think it's for the best.	Hey, you ok?	neutral
Hey, you ok?	I guess.	sadness
I guess.	There was hum...  there was another reason that I thought it was time to end it with Joey.	neutral
There was hum...  there was another reason that I thought it was time to end it with Joey.	I started to realize that I was having feelings for someone  else.	neutral
I started to realize that I was having feelings for someone  else.	Ok Geller. Last day of the conference, you know what happens to the keynote speaker.	neutral
Ok Geller. Last day of the conference, you know what happens to the keynote speaker.	Oh, professor Clerk we're kind of in the middle of a conversation, here.	neutral
Oh, professor Clerk we're kind of in the middle of a conversation, here.	Yeah, can you guys just throw him in the pool later?	neutral
Yeah, can you guys just throw him in the pool later?	Or we could throw you both in	non-neutral
Or we could throw you both in	Ok, gentlemen!	anger
Ok, gentlemen!	Please!	anger
Please!	Aren't we a little old for this?	anger
Aren't we a little old for this?	I mean, we're scientists, right?	non-neutral
I mean, we're scientists, right?	We're academics.	non-neutral
We're academics.	And most importantly I... you-you will have to catch us first.	joy
And most importantly I... you-you will have to catch us first.	.	neutral
.	GO, GO, GO!	joy
Go, go, go!	Oh yeah, now everybody wants to be under this hat!	joy
Oh yeah, now everybody wants to be under this hat!	Oy!!	non-neutral
Oy!!	What's with all this sand?	surprise
What's with all this sand?	Oh, yeah, Bob said there might be flood damage.	neutral
Oh, yeah, Bob said there might be flood damage.	Yeah, either that, or he has a really big cat.	neutral
Okay, see that blind guy right there? I'm gonna bash his head in later.	Oh umm, my big scene is coming up. Big scene coming up.	joy
Oh umm, my big scene is coming up. Big scene coming up.	If you said, Big lima bean, bubbling up. Would she understand the difference?	neutral
If you said, Big lima bean, bubbling up. Would she understand the difference?	Rach? What are you doing?	neutral
Rach? What are you doing?	Oh boy, I just can't watch. It's too scary!	fear
Oh boy, I just can't watch. It's too scary!	It's a diaper commercial.	neutral
It's a diaper commercial.	Oh yeah well, you know me, babies, responsibilities, ahhh!!!	fear
Oh yeah well, you know me, babies, responsibilities, ahhh!!!	Pizza delivery!	joy
Pizza delivery!	I'll get it! I will get that!	joy
I'll get it! I will get that!	Hi!	joy
Hi!	Hi!	joy
Hi!	Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?	neutral
Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?	Uhh, the ball thing.	neutral
Uhh, the ball thing.	Yeah?	neutral
Yeah?	Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!	joy
Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!	Uhh,	neutral
Uhh,	Okay!	joy
Okay!	Uh-oh.	fear
Uh-oh.	What?	neutral
What?	I have to pee. And Rachel's in the bathroom!	non-neutral
I have to pee. And Rachel's in the bathroom!	Man, I didn't think we were gonna make it!	surprise
Man, I didn't think we were gonna make it!	I know!  Don't switch hands, okay?	fear
Hey.	Hey!	neutral
Hey!	How did it go with Erin?	neutral
How did it go with Erin?	Oh, unbelievable! We had the best time!	joy
Oh, unbelievable! We had the best time!	Yay!! Oh so, you're not, you're not mad at us anymore?	joy
Yay!! Oh so, you're not, you're not mad at us anymore?	No!	non-neutral
No!	No!	non-neutral
No!	No!	non-neutral
No!	You guys were totally right!	joy
You guys were totally right!	This is so much better than the first time we went out.	joy
This is so much better than the first time we went out.	Y'know?	neutral
Y'know?	That was so awkward, we were really nervous.	neutral
That was so awkward, we were really nervous.	Didn't you sleep together?	neutral
Didn't you sleep together?	Yeah, that really calms me down.	neutral
Yeah, that really calms me down.	And!	non-neutral
And!	We have so much in common!	joy
We have so much in common!	She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a	non-neutral
She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a	Oh my God! Listen to you talkin' about having kids. Oh my Joey.  Oh, please don't get married before I do.	surprise
Oh my God! Listen to you talkin' about having kids. Oh my Joey.  Oh, please don't get married before I do.	Okay.	neutral
How does she do that?	I cannot sleep in a public place.	neutral
I cannot sleep in a public place.	Would you look at her? She is so peaceful.	non-neutral
Would you look at her? She is so peaceful.	Oh! What what what! ...Hi.	surprise
Oh! What what what! ...Hi.	It's okay, y'know, you just nodded off again.	neutral
It's okay, y'know, you just nodded off again.	What's going on with you?	surprise
What's going on with you?	I got no sleep last night!	anger
I got no sleep last night!	Why?	neutral
Why?	My grandmother has this new boyfriend, and they're both kind of insecure in bed.	disgust
My grandmother has this new boyfriend, and they're both kind of insecure in bed.	Oh, and deaf.	neutral
Oh, and deaf.	So they're constantly, like, having to reassure each other that they're having a good time.	neutral
So they're constantly, like, having to reassure each other that they're having a good time.	You have no idea how loud they are!	disgust
You have no idea how loud they are!	Well, if you want, you can stay with Rachel and me tonight.	neutral
Well, if you want, you can stay with Rachel and me tonight.	Thanks.	joy
Thanks.	Ew! What is that? Something exploded!	disgust
Ew! What is that? Something exploded!	It's just her water breaking. Calm down, will you?	neutral
It's just her water breaking. Calm down, will you?	Water breaking, what do you mean? What's that, water breaking?	surprise
Water breaking, what do you mean? What's that, water breaking?	Breathe, breathe, breathe.	neutral
Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead.	Okay! You don't think I thought of that?	non-neutral
Okay! You don't think I thought of that?	How can you not know which one?	surprise
How can you not know which one?	I mean that's unbelievable.	non-neutral
I mean that's unbelievable.	I mean, was it Gina?	neutral
I mean, was it Gina?	Which one is Gina?	neutral
Which one is Gina?	Dark, big hair, with the airplane earrings.	neutral
Dark, big hair, with the airplane earrings.	No, no, no, that's Dina.	neutral
No, no, no, that's Dina.	You see you can't tell which one is which either, dwha!!	surprise
You see you can't tell which one is which either, dwha!!	I don't know, you thought See you Saturday' was funny.	neutral
I don't know, you thought See you Saturday' was funny.	Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.	neutral
Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.	You guys would never want to go to a lecture with me.	neutral
You guys would never want to go to a lecture with me.	Pa-haa!! I would love to go with you.	joy
Pa-haa!! I would love to go with you.	Really!?	surprise
Really!?	Yeah, hey I-I have clothes, I even pick them out.	neutral
Yeah, hey I-I have clothes, I even pick them out.	I mean for, for all you know I could be a fashion..... monger.	neutral
I mean for, for all you know I could be a fashion..... monger.	Okay. Honey, I would love for you to go with me.  What?	joy
Okay. Honey, I would love for you to go with me.  What?	What should I wear, now I'm all nervous.	fear
: I know, we did it!! Hey, that was incredible, huh?!	I know, it was amazing! I mean, we totally nailed it, it was beautiful.	joy
I know, it was amazing! I mean, we totally nailed it, it was beautiful.	: Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.	joy
: Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.	Oh well, okay, good luck.	non-neutral
Oh well, okay, good luck.	: Yeah.	neutral
: Yeah.	Unless you wanna practice the Foxtrot again? Or-or the Tango?	neutral
Unless you wanna practice the Foxtrot again? Or-or the Tango?	: Ahh, thanks but no. You see I-I think I'm ready to dance with girls.	neutral
: Ahh, thanks but no. You see I-I think I'm ready to dance with girls.	Okay.	neutral
Okay.	: Yeah.	neutral
: Yeah.	Go get em Treeger.	neutral
Go get em Treeger.	: Right.  Hey, ahh, you wanna come? Marge has a girlfriend.	neutral
: Right.  Hey, ahh, you wanna come? Marge has a girlfriend.	Really?	surprise
Really?	: Yeah, you could dance real good with her, she's the same size as me.	neutral
: Yeah, you could dance real good with her, she's the same size as me.	No, I'm good.	neutral
Oh God, this is so nerve wracking! How-how do you do this?	Well, unfortunately, I don't get many callbacks so	neutral
Well, unfortunately, I don't get many callbacks so	Is it a good sign that they asked us to hang around after the audition?	surprise
Is it a good sign that they asked us to hang around after the audition?	Who knows?	neutral
Who knows?	Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.	neutral
Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.	Yes!! I knew it!!  Bye-bye! So long! Later!	joy
Yes!! I knew it!!  Bye-bye! So long! Later!	Oh this is great! I might actually get to play Ben's dad!	joy
Oh this is great! I might actually get to play Ben's dad!	Yeah!	joy
Yeah!	Actually, that can't happen.	neutral
Actually, that can't happen.	Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.	neutral
Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.	So it'll be either you two  or you two.	neutral
So it'll be either you two  or you two.	Man, this is gonna be kinda weird.	non-neutral
Man, this is gonna be kinda weird.	Yeah, it is.	neutral
Yeah, it is.	No, we-we're gonna be like best friends, that's why it's gonna be weird.	neutral
Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.	Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.	joy
Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.	Please!	non-neutral
Please!	Are you kidding?	non-neutral
Are you kidding?	I-I hurt three huge men, I gave a guy a bloody noseI mean I-I'm not proud of it but, I really am.	non-neutral
I-I hurt three huge men, I gave a guy a bloody noseI mean I-I'm not proud of it but, I really am.	And it's all because of you, wonderful, amazing you.	joy
And it's all because of you, wonderful, amazing you.	I think you've got concussion.	fear
I think you've got concussion.	No, no, I'm serious. Thank you.	joy
No, no, I'm serious. Thank you.	You're welcome.  I'm sorry. Did I hurt you?	fear
You're welcome.  I'm sorry. Did I hurt you?	It's worth the pain.  Y'know what, you know what? It's not.	non-neutral
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.	I do! Want a hint? huh? I do  I do.	non-neutral
I do! Want a hint? huh? I do  I do.	Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.	neutral
Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.	David is going to propose to Phoebe.	joy
David is going to propose to Phoebe.	What?  Why?	surprise
What?  Why?	Be-cause, we were talking about ways that he could beat Mike and I told him that Phoebe wanted to get married.	non-neutral
Be-cause, we were talking about ways that he could beat Mike and I told him that Phoebe wanted to get married.	Chandler, we have talked about this.	anger
Chandler, we have talked about this.	You are not supposed to give people advice!	anger
You are not supposed to give people advice!	Now couldn't you just have made some sort of inappropriate joke?	non-neutral
Now couldn't you just have made some sort of inappropriate joke?	I	neutral
I	They've only been going out for a few weeks and Phoebe is completely hung up on Mike!	anger
They've only been going out for a few weeks and Phoebe is completely hung up on Mike!	She'll say No, David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone	non-neutral
She'll say No, David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone	Man, that's some	non-neutral
Man, that's some	Oh, that's not what you want...	neutral
This is my father, Paul Stevens. Dad, this is Ross Geller.	It-it's great to meet you Paul.	joy
It-it's great to meet you Paul.	I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens.	neutral
I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens.	Of course, of course, Mr. Stevens.	neutral
Of course, of course, Mr. Stevens.	So Ross, what your problem?	anger
So Ross, what your problem?	Eh-whExcuse me?	surprise
Eh-whExcuse me?	Why can't you get a girlfriend your own age?	anger
Why can't you get a girlfriend your own age?	That's funny. Umm.  It's not funny.	fear
That's funny. Umm.  It's not funny.	I	neutral
I	Okay.	neutral
Okay.	I can, I can see that.	neutral
I can, I can see that.	Umm, but I think if you give me umm, one chance I can, I can change your mind.	fear
Umm, but I think if you give me umm, one chance I can, I can change your mind.	Okay.	neutral
Okay.	What?	neutral
What?	Okay. I'll give you one chance to change my mind.  You got one minute.	anger
Okay. I'll give you one chance to change my mind.  You got one minute.	Daddy!	surprise
Daddy!	Oh well, it's not on TV yet.	neutral
Oh well, it's not on TV yet.	Well, then it's not on the wall yet.	neutral
Well, then it's not on the wall yet.	Okay, fine, I will bring you a tape, huh?	neutral
Okay, fine, I will bring you a tape, huh?	So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet?	neutral
Ooooohh!	Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.	neutral
Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.	Was it...?	surprise
Was it...?	Oh, boy scouts could have camped under there.	neutral
Oh, boy scouts could have camped under there.	Ooo, what?	surprise
Ooo, what?	Uma Thurman.	neutral
Uma Thurman.	Oh!	surprise
Oh!	The actress!	surprise
The actress!	Thanks Rach.	neutral
Thanks Rach.	So what are you gonna do?	surprise
So what are you gonna do?	You have to tell her!	joy
You have to tell her!	You have to tell her!	joy
You have to tell her!	It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!	non-neutral
It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!	Guys?	non-neutral
Guys?	Guys?	non-neutral
Guys?	Oh, yeah, you have to tell her.	neutral
Oh, yeah, you have to tell her.	Feminist issue. That's where I went!	neutral
Feminist issue. That's where I went!	She is gonna hate me.	fear
She is gonna hate me.	Yeah, well...	neutral
Will you marry me?	It's the big night! We wanted to wish you good luck!	joy
It's the big night! We wanted to wish you good luck!	Yeah, yeah you have the ring?	neutral
Yeah, yeah you have the ring?	Yeah, right here in my pocket.  Pheebs?	neutral
Yeah, right here in my pocket.  Pheebs?	Oh! Oop!	surprise
Oh! Oop!	Okay, now will you guys get out of here? I want this is to be a surprise and she's gonna know.	neutral
Okay, now will you guys get out of here? I want this is to be a surprise and she's gonna know.	Yeah-yeah you guys. Get out of here!	neutral
Yeah-yeah you guys. Get out of here!	Hi guys.	neutral
Hi guys.	You are beautiful.	joy
You are beautiful.	Oh, thank you!   What's going on?	joy
Oh, thank you!   What's going on?	We're just reallyvery excited about this charity event that we have to go to.	neutral
Okay umm, Ross?	I'm-I'm really warm, so I'm going to be taking off my sweater.	neutral
I'm-I'm really warm, so I'm going to be taking off my sweater.	Now, I'm just letting you know that this is	neutral
Now, I'm just letting you know that this is	Yep! That's hilarious!	joy
Yep! That's hilarious!	I'm sorry. I'm done. I'm done.	neutral
I'm sorry. I'm done. I'm done.	Y'know, last night was embarrassing for you too.	neutral
Y'know, last night was embarrassing for you too.	No, not really. I mean you've seen me naked hundreds of times.	neutral
No, not really. I mean you've seen me naked hundreds of times.	Uh-huh. But it was a first for the rest of my building.	neutral
Uh-huh. But it was a first for the rest of my building.	Okay. All right, that's true! But y'know I just don't embarrass that easily.	neutral
Okay. All right, that's true! But y'know I just don't embarrass that easily.	What?! You totally get embarrassed!	surprise
What?! You totally get embarrassed!	No, I don't! Ross, I think I'm just a more secure person than you are.	neutral
No, I don't! Ross, I think I'm just a more secure person than you are.	Is that so?	neutral
Is that so?	Yeah.	neutral
Yeah.	Hey lady! I don't care how much you want it! Okay?! I am	disgust
I can't believe it!	I did it!	joy
I did it!	I rode a bike!	joy
I rode a bike!	I never thought I'd be able to do that!	joy
I never thought I'd be able to do that!	Thank you Ross.	joy
Thank you Ross.	Oh hey, don't thank me, thank yourself. You're the one who faced her fears and ultimately overcame them.	joy
Oh hey, don't thank me, thank yourself. You're the one who faced her fears and ultimately overcame them.	Well yeah, but then	non-neutral
Well yeah, but then	YeahNo-but-but-but-but! We're just gonna go home and take a shower. Now, that's not scary right?	non-neutral
YeahNo-but-but-but-but! We're just gonna go home and take a shower. Now, that's not scary right?	Depends on what you mean by we.	neutral
Hey, both you guys should be up there with me.	I mean, you two are-are my I mean, I'm lucky to have just one good	neutral
I mean, you two are-are my I mean, I'm lucky to have just one good	Thanks man.	neutral
Thanks man.	I gotta go check something over here.	neutral
I gotta go check something over here.	What a baby.	non-neutral
What a baby.	Total wuss!	non-neutral
David?	Phoebe! Hi!	joy
Phoebe! Hi!	Oh my God!	surprise
Oh my God!	Wow, you look unbelievable.	joy
Wow, you look unbelievable.	Yeah. What-what are you doing here?	surprise
Yeah. What-what are you doing here?	Well, I'm back from Minsk... permanently.	non-neutral
Well, I'm back from Minsk... permanently.	What happened?	surprise
What happened?	Well, remember how I was trying to achieve the positronic distillation of subatomic particles?	neutral
Well, remember how I was trying to achieve the positronic distillation of subatomic particles?	Yeah?	neutral
Yeah?	Well, after eight years of research I discovered that it can't be done.	sadness
Well, after eight years of research I discovered that it can't be done.	Well, it's great that you're back! How are you?	joy
Well, it's great that you're back! How are you?	Good, good, life is good...	non-neutral
Good, good, life is good...	Good!	joy
Good!	Ah well, I-I'm seeing someone.	non-neutral
Ah well, I-I'm seeing someone.	Oh, good for you.	neutral
Oh, good for you.	She's also a scientist, so she's very smart and pretty and... well, it's actually because of you, really, that we're together, I mean, I saw what you had with that Mike guy, and I just said Boy, I want that.	non-neutral
She's also a scientist, so she's very smart and pretty and... well, it's actually because of you, really, that we're together, I mean, I saw what you had with that Mike guy, and I just said Boy, I want that.	Mike and I broke up.	sadness
Mike and I broke up.	It means that we can keep trying, but there's    a good chance this may never happen for us.	sadness
It means that we can keep trying, but there's    a good chance this may never happen for us.	Oh my God!	surprise
Oh my God!	I'm sorry.	sadness
I'm sorry.	I'm sorry too.	sadness
I'm sorry too.	Well, we're gonna... we're gonna figure this out.	non-neutral
Well, we're gonna... we're gonna figure this out.	I know.	non-neutral
Okay, we have a lot of options here, a number of prototypes for you to try on.	Wow! This looks great!	joy
Wow! This looks great!	Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.	non-neutral
Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.	And-and-and-and-and the toothpicks?	non-neutral
And-and-and-and-and the toothpicks?	You kissed another woman!	non-neutral
You kissed another woman!	Call it even?!	neutral
Call it even?!	Okay!	non-neutral
Okay!	Well, I'm gonna go get these  in some water.	neutral
Well, I'm gonna go get these  in some water.	Wait you stole those from these people's wedding?	surprise
Wait you stole those from these people's wedding?	No-no, I took them from the hotel lobby.	neutral
No-no, I took them from the hotel lobby.	Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.	anger
